asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B0BXV2XKVF,SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6&quot; 50MP Triple Camera + (15W Wall Charger) (Silver (SM-A145M/DS)),$136.99,,USD,4.3,255,https://www.amazon.com/dp/B0BXV2XKVF,https://m.media-amazon.com/images/I/717yeZFskGL._AC_SX444_SY639_QL65_.jpg,,$136.99,False,True,False
B0BLP3ZZXT,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green","$1,199.99",,USD,4.7,359,https://www.amazon.com/dp/B0BLP3ZZXT,https://m.media-amazon.com/images/I/71HtN4qqLZL._AC_SX444_SY639_QL65_.jpg,,"$1,199.99",False,True,False
B0BYM3SD4K,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)","$1,080.00","$1,150.00",USD,4,99,https://www.amazon.com/dp/B0BYM3SD4K,https://m.media-amazon.com/images/I/51iJx7YWDOL._AC_SX444_SY639_QL65_.jpg,,"$1,080.00",False,True,True
B09R6FJWWS,"SAMSUNG Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black",$418.00,$449.99,USD,4.3,4044,https://www.amazon.com/dp/B09R6FJWWS,https://m.media-amazon.com/images/I/71HN4P-pd5L._AC_SX444_SY639_QL65_.jpg,,$418.00,False,True,True
B09Q98BRRN,"SAMSUNG Galaxy A03 Core (SM-A032/DS) Dual SIM 32GB/ 2GB RAM, GSM Unlocked International Version - No Warranty - Black",$87.60,,USD,3.8,1686,https://www.amazon.com/dp/B09Q98BRRN,https://m.media-amazon.com/images/I/61EYfTYzWML._AC_SX444_SY639_QL65_.jpg,,$87.60,False,True,False
B09V3HZ8B5,"Apple iPhone 13 Pro Max (256 GB, Alpine Green) [Locked] + Carrier Subscription","$1,199.00",,USD,4.1,21,https://www.amazon.com/dp/B09V3HZ8B5,https://m.media-amazon.com/images/I/611ovP2GkrL._AC_SX444_SY639_QL65_.jpg,,"$1,199.00",False,True,True
B09LG4PSB6,Samsung Galaxy S20 FE 5G 128GB Blue Verizon (Renewed),$189.99,$549.97,USD,4.1,759,https://www.amazon.com/dp/B09LG4PSB6,https://m.media-amazon.com/images/I/61WeLSi+UiL._AC_SX444_SY639_QL65_.jpg,,$189.99,False,True,True
B0C1Q3MVBP,"SAMSUNG Galaxy A14 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 64GB Black",$148.99,$199.99,USD,3.5,37,https://www.amazon.com/dp/B0C1Q3MVBP,https://m.media-amazon.com/images/I/61G9RdA0EQL._AC_SX444_SY639_QL65_.jpg,,$148.99,False,True,True
B0BYTB365B,"SAMSUNG Galaxy A14 (128GB, 4GB) 6.6&#x27;&#x27;, Android 13, 5000mAh Battery, 50MP Triple Camera, Dual SIM 4G Volte GSM Unlocked International Model A145M/DS (w/ 256GB SD, Green)",$155.00,,USD,4.3,59,https://www.amazon.com/dp/B0BYTB365B,https://m.media-amazon.com/images/I/71xRZ1eIaKL._AC_SX444_SY639_QL65_.jpg,,$155.00,False,True,False
B0BTZ9DC88,"SAMSUNG Galaxy A14 (SM-A145P/DS) Dual SIM,64GB + 4GB, Factory Unlocked GSM, International Version (Fast Car Charger Bundle) - No Warranty - (Green)",$133.95,,USD,3.8,54,https://www.amazon.com/dp/B0BTZ9DC88,https://m.media-amazon.com/images/I/81kkaatt0dL._AC_SX444_SY639_QL65_.jpg,,$133.95,False,True,False
B0991J62ZY,"Samsung Galaxy A12 (32GB, 3GB) 6.5&quot; HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&amp;T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",$107.00,$149.99,USD,3.9,1263,https://www.amazon.com/dp/B0991J62ZY,https://m.media-amazon.com/images/I/81t8kQP6OQL._AC_SX444_SY639_QL65_.jpg,,$107.00,False,False,True
B0BTDVC5V5,SAMSUNG Galaxy A04S 4G LTE (64GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.5&quot; 50MP Triple Camera + (w/Fast Car Charger) (Black),$124.00,,USD,4.2,8,https://www.amazon.com/dp/B0BTDVC5V5,https://m.media-amazon.com/images/I/41eVxD1ZcWL._AC_SX444_SY639_QL65_.jpg,,$124.00,False,True,False
