review_text,review_stars,title,summary
Great item highly recommend.,4.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",Great item highly recommend.
This phone works as stated above. I like it. I switched from android. It’s been a decade since my last iPhone. Thought I’d try it again. Got it for the camera battery life and media capabilities. I’ll update after 6 months of use,5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",This phone works as stated above. I like it.
"I purchase it because I wanna try new iPhone. when I received, I found there is no sim tray. I was embarrassed because the web site states they will provide 'SIM tray removal tool' and there is no sim tray in the iPhone. it is very inconvenience to me because I have several SIM cards with different countries network and some don't provide esim function.moreover, another inconvenience such be multiscreen. I use Samsung galaxy s21 ultra in pass and multiscreen is one of the important function for searching when I need two browsers in one screen at the same time. I can't believe that iPhone do not support this function but only provide pic-in-pic for YouTube only.screen is beautiful and shape, battery is good and can last for whole day and more, and some apps are good such as to-do list. but that's not enough for me to switch to apple phone.just beware when you purchase",3.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",I was embarrassed because the web site states they will provide 'SIM tray removal tool' and there is no sim tray in the iPhone. but that's not enough for me to switch to apple phone.just beware when you purchase
"The battery health was 100 percent when I got it, and there wasn't a single scratch on this phone. ""Premium renewed""? More like brand new! I highly recommend amazon premium renewed! :D",5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)","The battery health was 100 percent when I got it, and there wasn't a single scratch on this phone. ""Premium renewed""?"
Very impressed by Amazon renewed. If you can save a couple bucks by going this route- do it.Mine is basically new. Only imperfections are two very minor scratches on the screen near the dynamic island. I’m about a month in and yet to find any other issues. Battery health at 100% and has been working flawlessly. I’d be looking for more renewed items if I can.,5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",Very impressed by Amazon renewed. If you can save a couple bucks by going this route- do it.Mine is basically new.
Instantly returned mine when I found out it is not truly “unlocked”  you cannot use straight talk with it.,3.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",Instantly returned mine when I found out it is not truly “unlocked”  you cannot use straight talk with it.
love how it fits on the screen easy to install,5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",love how it fits on the screen easy to install
I’m not sure what the improvements are over my 11 pro plus IPhone are?,5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",I’m not sure what the improvements are over my 11 pro plus IPhone are?
"Iphone 14 Pro Max, 512 gb.  Unfortunately the Renewed Premium phone I received has a defective microphone.  So I will return it after only having the phone for 10 days.  Other than the faulty microphone I do like the phone overall.Being a Renewed PREMIUM, I expected the phone to be in near perfect condition.  The battery life was still 100 percent and there was a slight scratch on the front glass that was barely noticable.  Other  than the faulty microphone that affected Siri, phone calls , voice memo, speaking texts messages. I was overall happy with the phone.  The advantage of the Renewed PREMIUM is the ability to return the phone after fully becoming aquainted with it.",2.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)","Iphone 14 Pro Max, 512 gb. Other than the faulty microphone I do like the phone overall.Being a Renewed PREMIUM, I expected the phone to be in near perfect condition."
I saved a ton on this refurbished IPhone 14 pro max. Arrived quickly and was as advertised in “excellent “ condition. Setting up the new phone was quick and painless with the eSim through my chosen carrier. Highly recommend this seller.,5.0 out of 5 stars,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed Premium)",I saved a ton on this refurbished IPhone 14 pro max. Arrived quickly and was as advertised in “excellent “ condition.
